156	43	36
161	45	36
166	48	36
169	52	36
161	54	36
163	62	36
158	45	37
157	45	37
157	46	37
163	50	37
165	50	37
165	51	37
165	52	37
165	63	37
155	47	38
165	47	38
159	48	38
155	51	38
165	51	38
168	52	38
165	53	38
162	53	38
170	60	38
160	62	38
163	67	38
169	62	39
171	59	40
152	42	35
155	43	36
162	50	37
165	53	37
160	54	36
171	54	38
168	59	37
173	60	39
169	56	38
156	44	36
162	53	38
165	50	38
162	52	38
161	54	36
165	52	38
166	58	38
165	58	37
165	50	37
169	62	38
157	50	38
161	46	36
163	48	37
162	53	38
147	36	35
163	55	38
160	51	37
164	52	38
155	44	37
158	51	36
158	42	36
158	41	38
160	46.5	37
165	51	37
160	52	36
159	60	38
170	51	38
158	44	36
160	50	39
158	50	37
161	52	38
175	47	37
164	48	38
166	52	36
168	45	37
162	53	37
152	42	36
156	43	36
170	53	38
169	48	38
164	62	39
